[ 00:03:11.393 -->  00:03:13.215] S SPEAKER_04
[ 01:02:54.850 -->  01:02:55.204] AHA SPEAKER_03
[ 01:02:55.407 -->  01:02:56.318] AHB SPEAKER_03
[ 01:02:56.470 -->  01:02:58.461] AHC SPEAKER_03
[ 01:02:58.883 -->  01:03:01.920] AHD SPEAKER_03
[ 01:03:02.663 -->  01:03:06.105] AHE SPEAKER_03
[ 01:03:42.015 -->  01:03:49.356] AHH SPEAKER_04
[ 01:03:49.727 -->  01:03:51.651] AHI SPEAKER_04
[ 01:03:51.769 -->  01:03:58.266] AHJ SPEAKER_04
[ 01:03:58.705 -->  01:04:02.839] AHK SPEAKER_04
[ 01:04:03.362 -->  01:04:07.547] AHL SPEAKER_04
[ 01:04:07.969 -->  01:04:11.159] AHM SPEAKER_04
[ 01:04:11.766 -->  01:04:13.082] AHN SPEAKER_04
[ 01:04:13.572 -->  01:04:21.857] AHO SPEAKER_04
[ 01:04:22.330 -->  01:04:23.241] AHP SPEAKER_04
[ 01:04:23.275 -->  01:04:26.599] AHQ SPEAKER_04
[ 01:04:27.156 -->  01:04:34.851] AHR SPEAKER_04
[ 01:04:35.442 -->  01:04:38.024] AHS SPEAKER_04
[ 01:04:38.226 -->  01:04:42.259] AHT SPEAKER_04
[ 01:04:42.799 -->  01:04:47.220] AHU SPEAKER_04
[ 01:04:47.710 -->  01:04:56.097] AHV SPEAKER_04
[ 01:04:56.367 -->  01:04:57.143] AHW SPEAKER_04
[ 01:04:57.599 -->  01:05:02.509] AHX SPEAKER_04
[ 01:05:03.083 -->  01:05:08.061] AHY SPEAKER_04
[ 01:05:08.517 -->  01:05:10.474] AHZ SPEAKER_04
[ 01:05:10.727 -->  01:05:17.376] AIA SPEAKER_04
[ 01:05:17.511 -->  01:05:22.354] AIB SPEAKER_04
[ 01:05:22.725 -->  01:05:32.243] AIC SPEAKER_04
[ 01:05:32.699 -->  01:05:35.044] AID SPEAKER_04
[ 01:05:35.871 -->  01:05:42.216] AIE SPEAKER_04
[ 01:05:42.587 -->  01:05:46.030] AIF SPEAKER_04
[ 01:05:46.620 -->  01:05:49.607] AIG SPEAKER_04
[ 01:05:50.046 -->  01:05:53.792] AIH SPEAKER_04
[ 01:05:54.079 -->  01:06:04.677] AII SPEAKER_04
[ 01:06:05.115 -->  01:06:06.314] AIJ SPEAKER_04
[ 01:06:06.719 -->  01:06:17.856] AIK SPEAKER_04
[ 01:06:18.413 -->  01:06:19.274] AIL SPEAKER_04
[ 01:06:19.628 -->  01:06:21.872] AIM SPEAKER_04
[ 01:06:22.227 -->  01:06:24.944] AIN SPEAKER_04
[ 01:06:25.315 -->  01:06:26.530] AIO SPEAKER_04
[ 01:06:27.036 -->  01:06:28.049] AIP SPEAKER_04
[ 01:06:28.842 -->  01:06:30.698] AIQ SPEAKER_04
[ 01:06:31.305 -->  01:06:35.001] AIR SPEAKER_04
[ 01:06:35.389 -->  01:06:39.051] AIS SPEAKER_04
[ 01:06:39.456 -->  01:06:43.523] AIT SPEAKER_04
[ 01:06:44.249 -->  01:06:49.615] AIU SPEAKER_04
[ 01:06:49.800 -->  01:06:52.315] AIV SPEAKER_04
[ 01:07:23.601 -->  01:07:29.170] AIX SPEAKER_04
[ 01:07:29.457 -->  01:07:34.688] AIY SPEAKER_04
[ 01:07:34.874 -->  01:07:37.489] AIZ SPEAKER_04
[ 01:07:37.945 -->  01:07:42.467] AJA SPEAKER_04
[ 01:07:43.007 -->  01:07:49.352] AJB SPEAKER_04
[ 01:07:48.239 -->  01:07:48.475] AJD SPEAKER_03
[ 01:07:49.926 -->  01:08:02.414] AJF SPEAKER_04
[ 01:08:02.869 -->  01:08:07.797] AJG SPEAKER_04
[ 01:08:08.202 -->  01:08:11.543] AJH SPEAKER_04
[ 01:08:12.032 -->  01:08:16.369] AJI SPEAKER_04
[ 01:08:16.656 -->  01:08:18.259] AJJ SPEAKER_04
[ 01:08:18.664 -->  01:08:20.402] AJK SPEAKER_04
[ 01:08:20.858 -->  01:08:26.697] AJL SPEAKER_04
[ 01:08:27.051 -->  01:08:30.224] AJM SPEAKER_04
[ 01:08:30.696 -->  01:08:37.632] AJN SPEAKER_04
[ 01:08:38.020 -->  01:08:39.488] AJO SPEAKER_04
[ 01:08:40.365 -->  01:09:05.745] AJP SPEAKER_04
[ 01:09:06.184 -->  01:09:07.079] AJQ SPEAKER_04
[ 01:09:07.349 -->  01:09:08.277] AJR SPEAKER_04
[ 01:09:08.715 -->  01:09:11.905] AJS SPEAKER_04
[ 01:09:12.327 -->  01:09:15.567] AJT SPEAKER_04
[ 01:09:16.073 -->  01:09:18.250] AJU SPEAKER_04
[ 01:09:18.840 -->  01:09:19.836] AJV SPEAKER_04
[ 01:09:20.511 -->  01:09:22.502] AJW SPEAKER_04
[ 01:09:22.806 -->  01:09:24.004] AJX SPEAKER_04
[ 01:09:24.325 -->  01:09:26.974] AJY SPEAKER_04
[ 01:09:27.531 -->  01:09:30.062] AJZ SPEAKER_04
[ 01:09:30.467 -->  01:09:33.269] AKA SPEAKER_04
[ 01:09:34.045 -->  01:09:36.610] AKB SPEAKER_04
[ 01:09:36.762 -->  01:09:40.710] AKC SPEAKER_04
[ 01:09:40.997 -->  01:09:49.367] AKD SPEAKER_04
[ 01:09:49.890 -->  01:09:51.645] AKE SPEAKER_04
[ 01:09:52.185 -->  01:09:56.522] AKF SPEAKER_04
[ 01:09:56.944 -->  01:09:58.598] AKG SPEAKER_04
[ 01:09:58.969 -->  01:10:06.546] AKH SPEAKER_04
[ 01:10:06.647 -->  01:10:08.335] AKI SPEAKER_04
[ 01:10:08.858 -->  01:10:16.080] AKJ SPEAKER_04
[ 01:10:16.469 -->  01:10:19.506] AKK SPEAKER_04
[ 01:10:20.451 -->  01:10:32.280] AKL SPEAKER_04
[ 01:10:32.837 -->  01:10:35.014] AKM SPEAKER_04
[ 01:10:35.520 -->  01:10:36.162] AKN SPEAKER_04
[ 01:10:36.735 -->  01:10:38.625] AKO SPEAKER_04
[ 01:10:38.997 -->  01:10:45.679] AKP SPEAKER_04
[ 01:10:46.287 -->  01:10:50.573] AKQ SPEAKER_04
[ 01:10:50.944 -->  01:10:55.905] AKR SPEAKER_04
[ 01:10:56.429 -->  01:11:01.019] AKS SPEAKER_04
[ 01:11:01.643 -->  01:11:04.039] AKT SPEAKER_04
[ 01:11:04.309 -->  01:11:09.709] AKU SPEAKER_04
[ 01:11:10.030 -->  01:11:11.819] AKV SPEAKER_04
[ 01:11:12.257 -->  01:11:15.480] AKW SPEAKER_04
[ 01:11:16.223 -->  01:11:26.905] AKX SPEAKER_04
[ 01:11:27.293 -->  01:11:32.659] AKY SPEAKER_04
[ 01:11:33.165 -->  01:11:34.060] AKZ SPEAKER_04
[ 01:11:34.448 -->  01:11:35.933] ALA SPEAKER_04
[ 01:11:36.203 -->  01:11:39.443] ALB SPEAKER_04
[ 01:11:40.000 -->  01:11:42.413] ALC SPEAKER_04
[ 01:11:42.869 -->  01:11:48.994] ALD SPEAKER_04
[ 01:12:06.443 -->  01:12:06.460] ALF SPEAKER_04
[ 01:12:07.067 -->  01:12:07.118] ALH SPEAKER_04
[ 01:12:09.413 -->  01:12:09.902] ALI SPEAKER_04
[ 01:12:09.970 -->  01:12:09.987] ALJ SPEAKER_04
[ 01:12:10.122 -->  01:12:14.796] ALK SPEAKER_04
[ 01:12:15.353 -->  01:12:16.922] ALL SPEAKER_04
[ 01:12:17.513 -->  01:12:26.254] ALM SPEAKER_04
[ 01:12:26.524 -->  01:12:28.212] ALN SPEAKER_04
[ 01:12:28.414 -->  01:12:45.998] ALO SPEAKER_04
[ 01:12:49.947 -->  01:12:50.639] ALQ SPEAKER_04
